text,label
Share your OTP to receive cashback.,1
Urgent! Your UPI account is blocked.,1
Dinner at 8 PM tonight?,0
Thank you for shopping with us.,0
Your account is under verification. Login now.,1
Claim your refund immediately.,1
Your bank account has been blocked. Verify immediately.,1
Happy Birthday! Have a wonderful day.,0
Update your KYC today to avoid account suspension.,1
You have won a lucky draw. Verify now.,1
Your bank account has been blocked. Verify immediately.,1
Your package is out for delivery.,0
Meeting is scheduled at 10 AM tomorrow.,0
Urgent! Your UPI account is blocked.,1
Urgent! Your UPI account is blocked.,1
Update your KYC today to avoid account suspension.,1
Claim your refund immediately.,1
Update your KYC today to avoid account suspension.,1
Your bank account has been blocked. Verify immediately.,1
Your package is out for delivery.,0
Bus will arrive in 10 minutes.,0
Your account is under verification. Login now.,1
Your electricity bill has been paid successfully.,0
Dinner at 8 PM tonight?,0
Please submit your assignment before Friday.,0
Dinner at 8 PM tonight?,0
Thank you for shopping with us.,0
Please submit your assignment before Friday.,0
Claim your refund immediately.,1
Happy Birthday! Have a wonderful day.,0
Meeting is scheduled at 10 AM tomorrow.,0
Your bank account has been blocked. Verify immediately.,1
Your bank account has been blocked. Verify immediately.,1
Urgent! Your UPI account is blocked.,1
Your Amazon order has been delivered.,0
Please submit your assignment before Friday.,0
Dinner at 8 PM tonight?,0
Update your KYC today to avoid account suspension.,1
Click here to receive your lottery prize.,1
Meeting is scheduled at 10 AM tomorrow.,0
Bus will arrive in 10 minutes.,0
Your bank account has been blocked. Verify immediately.,1
Your package is out for delivery.,0
Your bank account has been blocked. Verify immediately.,1
Urgent! Your UPI account is blocked.,1
Your Amazon order has been delivered.,0
Urgent! Your UPI account is blocked.,1
Your package is out for delivery.,0
Bus will arrive in 10 minutes.,0
Your package is out for delivery.,0
Dinner at 8 PM tonight?,0
Meeting is scheduled at 10 AM tomorrow.,0
Urgent! Your UPI account is blocked.,1
Happy Birthday! Have a wonderful day.,0
Meeting is scheduled at 10 AM tomorrow.,0
Claim your refund immediately.,1
Bus will arrive in 10 minutes.,0
Click here to receive your lottery prize.,1
Your account is under verification. Login now.,1
Share your OTP to receive cashback.,1
Your Amazon order has been delivered.,0
Click here to receive your lottery prize.,1
Limited offer! Claim your free iPhone now.,1
Share your OTP to receive cashback.,1
Update your KYC today to avoid account suspension.,1
Urgent! Your UPI account is blocked.,1
Your Amazon order has been delivered.,0
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Thank you for shopping with us.,0
Share your OTP to receive cashback.,1
Your package is out for delivery.,0
Your Amazon order has been delivered.,0
Click here to receive your lottery prize.,1
Dinner at 8 PM tonight?,0
Meeting is scheduled at 10 AM tomorrow.,0
Congratulations! You won ₹500000. Click here to claim.,1
Your bank account has been blocked. Verify immediately.,1
Thank you for shopping with us.,0
Your bank account has been blocked. Verify immediately.,1
Click here to receive your lottery prize.,1
Congratulations! You won ₹500000. Click here to claim.,1
Dinner at 8 PM tonight?,0
Happy Birthday! Have a wonderful day.,0
Click here to receive your lottery prize.,1
Dinner at 8 PM tonight?,0
Project review meeting starts at 2 PM.,0
Dinner at 8 PM tonight?,0
You have won a lucky draw. Verify now.,1
Click here to receive your lottery prize.,1
Please submit your assignment before Friday.,0
Project review meeting starts at 2 PM.,0
Urgent! Your UPI account is blocked.,1
Thank you for shopping with us.,0
Project review meeting starts at 2 PM.,0
Dinner at 8 PM tonight?,0
Limited offer! Claim your free iPhone now.,1
Your electricity bill has been paid successfully.,0
Your bank account has been blocked. Verify immediately.,1
Thank you for shopping with us.,0
Your electricity bill has been paid successfully.,0
Bus will arrive in 10 minutes.,0
Update your KYC today to avoid account suspension.,1
Share your OTP to receive cashback.,1
Update your KYC today to avoid account suspension.,1
Project review meeting starts at 2 PM.,0
You have won a lucky draw. Verify now.,1
Dinner at 8 PM tonight?,0
Share your OTP to receive cashback.,1
Your electricity bill has been paid successfully.,0
You have won a lucky draw. Verify now.,1
Thank you for shopping with us.,0
Limited offer! Claim your free iPhone now.,1
Congratulations! You won ₹500000. Click here to claim.,1
Thank you for shopping with us.,0
Bus will arrive in 10 minutes.,0
Congratulations! You won ₹500000. Click here to claim.,1
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Please submit your assignment before Friday.,0
Click here to receive your lottery prize.,1
Happy Birthday! Have a wonderful day.,0
Happy Birthday! Have a wonderful day.,0
Your package is out for delivery.,0
You have won a lucky draw. Verify now.,1
Bus will arrive in 10 minutes.,0
Limited offer! Claim your free iPhone now.,1
Share your OTP to receive cashback.,1
Limited offer! Claim your free iPhone now.,1
Urgent! Your UPI account is blocked.,1
Congratulations! You won ₹500000. Click here to claim.,1
Meeting is scheduled at 10 AM tomorrow.,0
Your electricity bill has been paid successfully.,0
Click here to receive your lottery prize.,1
Limited offer! Claim your free iPhone now.,1
Share your OTP to receive cashback.,1
You have won a lucky draw. Verify now.,1
Dinner at 8 PM tonight?,0
Click here to receive your lottery prize.,1
Bus will arrive in 10 minutes.,0
Limited offer! Claim your free iPhone now.,1
Urgent! Your UPI account is blocked.,1
Urgent! Your UPI account is blocked.,1
Limited offer! Claim your free iPhone now.,1
Congratulations! You won ₹500000. Click here to claim.,1
Urgent! Your UPI account is blocked.,1
Click here to receive your lottery prize.,1
Please submit your assignment before Friday.,0
Your account is under verification. Login now.,1
Limited offer! Claim your free iPhone now.,1
You have won a lucky draw. Verify now.,1
You have won a lucky draw. Verify now.,1
Your bank account has been blocked. Verify immediately.,1
You have won a lucky draw. Verify now.,1
Your electricity bill has been paid successfully.,0
Your package is out for delivery.,0
Please submit your assignment before Friday.,0
Happy Birthday! Have a wonderful day.,0
Click here to receive your lottery prize.,1
Happy Birthday! Have a wonderful day.,0
Congratulations! You won ₹500000. Click here to claim.,1
Your account is under verification. Login now.,1
Thank you for shopping with us.,0
Congratulations! You won ₹500000. Click here to claim.,1
Your package is out for delivery.,0
Limited offer! Claim your free iPhone now.,1
Please submit your assignment before Friday.,0
Update your KYC today to avoid account suspension.,1
Your bank account has been blocked. Verify immediately.,1
Click here to receive your lottery prize.,1
Click here to receive your lottery prize.,1
Bus will arrive in 10 minutes.,0
Dinner at 8 PM tonight?,0
Urgent! Your UPI account is blocked.,1
You have won a lucky draw. Verify now.,1
Your Amazon order has been delivered.,0
Project review meeting starts at 2 PM.,0
Project review meeting starts at 2 PM.,0
Bus will arrive in 10 minutes.,0
Your package is out for delivery.,0
Your bank account has been blocked. Verify immediately.,1
Project review meeting starts at 2 PM.,0
Update your KYC today to avoid account suspension.,1
Please submit your assignment before Friday.,0
Your package is out for delivery.,0
Thank you for shopping with us.,0
Congratulations! You won ₹500000. Click here to claim.,1
Dinner at 8 PM tonight?,0
Your electricity bill has been paid successfully.,0
You have won a lucky draw. Verify now.,1
Claim your refund immediately.,1
Happy Birthday! Have a wonderful day.,0
Congratulations! You won ₹500000. Click here to claim.,1
You have won a lucky draw. Verify now.,1
Meeting is scheduled at 10 AM tomorrow.,0
Happy Birthday! Have a wonderful day.,0
Thank you for shopping with us.,0
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Share your OTP to receive cashback.,1
Your package is out for delivery.,0
Your Amazon order has been delivered.,0
You have won a lucky draw. Verify now.,1
Please submit your assignment before Friday.,0
Share your OTP to receive cashback.,1
Your package is out for delivery.,0
Your account is under verification. Login now.,1
Update your KYC today to avoid account suspension.,1
Project review meeting starts at 2 PM.,0
Dinner at 8 PM tonight?,0
Happy Birthday! Have a wonderful day.,0
Your Amazon order has been delivered.,0
Your package is out for delivery.,0
Urgent! Your UPI account is blocked.,1
Bus will arrive in 10 minutes.,0
Please submit your assignment before Friday.,0
Bus will arrive in 10 minutes.,0
Your package is out for delivery.,0
Your electricity bill has been paid successfully.,0
Meeting is scheduled at 10 AM tomorrow.,0
Bus will arrive in 10 minutes.,0
Your package is out for delivery.,0
You have won a lucky draw. Verify now.,1
Click here to receive your lottery prize.,1
Your account is under verification. Login now.,1
Click here to receive your lottery prize.,1
Click here to receive your lottery prize.,1
Share your OTP to receive cashback.,1
Click here to receive your lottery prize.,1
Your Amazon order has been delivered.,0
You have won a lucky draw. Verify now.,1
Your account is under verification. Login now.,1
Dinner at 8 PM tonight?,0
Your account is under verification. Login now.,1
Your electricity bill has been paid successfully.,0
Click here to receive your lottery prize.,1
Claim your refund immediately.,1
You have won a lucky draw. Verify now.,1
Your bank account has been blocked. Verify immediately.,1
Claim your refund immediately.,1
Claim your refund immediately.,1
Meeting is scheduled at 10 AM tomorrow.,0
Update your KYC today to avoid account suspension.,1
Your bank account has been blocked. Verify immediately.,1
Update your KYC today to avoid account suspension.,1
Congratulations! You won ₹500000. Click here to claim.,1
Claim your refund immediately.,1
Dinner at 8 PM tonight?,0
Your bank account has been blocked. Verify immediately.,1
Update your KYC today to avoid account suspension.,1
Your Amazon order has been delivered.,0
Your Amazon order has been delivered.,0
Share your OTP to receive cashback.,1
Your package is out for delivery.,0
Bus will arrive in 10 minutes.,0
Bus will arrive in 10 minutes.,0
Urgent! Your UPI account is blocked.,1
Claim your refund immediately.,1
Happy Birthday! Have a wonderful day.,0
Update your KYC today to avoid account suspension.,1
Share your OTP to receive cashback.,1
Urgent! Your UPI account is blocked.,1
Thank you for shopping with us.,0
Your account is under verification. Login now.,1
Bus will arrive in 10 minutes.,0
Your bank account has been blocked. Verify immediately.,1
Your electricity bill has been paid successfully.,0
Your account is under verification. Login now.,1
Thank you for shopping with us.,0
Update your KYC today to avoid account suspension.,1
Meeting is scheduled at 10 AM tomorrow.,0
Claim your refund immediately.,1
Update your KYC today to avoid account suspension.,1
Claim your refund immediately.,1
Urgent! Your UPI account is blocked.,1
Bus will arrive in 10 minutes.,0
Claim your refund immediately.,1
Urgent! Your UPI account is blocked.,1
Update your KYC today to avoid account suspension.,1
Happy Birthday! Have a wonderful day.,0
Thank you for shopping with us.,0
Meeting is scheduled at 10 AM tomorrow.,0
Thank you for shopping with us.,0
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Your Amazon order has been delivered.,0
Project review meeting starts at 2 PM.,0
Please submit your assignment before Friday.,0
Your package is out for delivery.,0
Meeting is scheduled at 10 AM tomorrow.,0
Dinner at 8 PM tonight?,0
Your bank account has been blocked. Verify immediately.,1
Project review meeting starts at 2 PM.,0
Urgent! Your UPI account is blocked.,1
Update your KYC today to avoid account suspension.,1
Limited offer! Claim your free iPhone now.,1
Click here to receive your lottery prize.,1
Thank you for shopping with us.,0
Your bank account has been blocked. Verify immediately.,1
You have won a lucky draw. Verify now.,1
Dinner at 8 PM tonight?,0
Update your KYC today to avoid account suspension.,1
Your bank account has been blocked. Verify immediately.,1
Click here to receive your lottery prize.,1
Claim your refund immediately.,1
Your electricity bill has been paid successfully.,0
Update your KYC today to avoid account suspension.,1
Dinner at 8 PM tonight?,0
Update your KYC today to avoid account suspension.,1
Your Amazon order has been delivered.,0
Congratulations! You won ₹500000. Click here to claim.,1
Thank you for shopping with us.,0
Your bank account has been blocked. Verify immediately.,1
Bus will arrive in 10 minutes.,0
Congratulations! You won ₹500000. Click here to claim.,1
Please submit your assignment before Friday.,0
Claim your refund immediately.,1
Dinner at 8 PM tonight?,0
Happy Birthday! Have a wonderful day.,0
Your electricity bill has been paid successfully.,0
Urgent! Your UPI account is blocked.,1
Your bank account has been blocked. Verify immediately.,1
Your package is out for delivery.,0
Thank you for shopping with us.,0
Claim your refund immediately.,1
Limited offer! Claim your free iPhone now.,1
Share your OTP to receive cashback.,1
Happy Birthday! Have a wonderful day.,0
Thank you for shopping with us.,0
Your Amazon order has been delivered.,0
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Thank you for shopping with us.,0
Bus will arrive in 10 minutes.,0
Happy Birthday! Have a wonderful day.,0
Your bank account has been blocked. Verify immediately.,1
Your package is out for delivery.,0
Project review meeting starts at 2 PM.,0
You have won a lucky draw. Verify now.,1
Limited offer! Claim your free iPhone now.,1
Urgent! Your UPI account is blocked.,1
Please submit your assignment before Friday.,0
Please submit your assignment before Friday.,0
Urgent! Your UPI account is blocked.,1
Bus will arrive in 10 minutes.,0
Claim your refund immediately.,1
Your bank account has been blocked. Verify immediately.,1
Update your KYC today to avoid account suspension.,1
Claim your refund immediately.,1
Your bank account has been blocked. Verify immediately.,1
Click here to receive your lottery prize.,1
Your account is under verification. Login now.,1
Click here to receive your lottery prize.,1
Your account is under verification. Login now.,1
You have won a lucky draw. Verify now.,1
Claim your refund immediately.,1
Project review meeting starts at 2 PM.,0
Update your KYC today to avoid account suspension.,1
Share your OTP to receive cashback.,1
Dinner at 8 PM tonight?,0
Update your KYC today to avoid account suspension.,1
Limited offer! Claim your free iPhone now.,1
Happy Birthday! Have a wonderful day.,0
Please submit your assignment before Friday.,0
Urgent! Your UPI account is blocked.,1
Congratulations! You won ₹500000. Click here to claim.,1
You have won a lucky draw. Verify now.,1
Your account is under verification. Login now.,1
Urgent! Your UPI account is blocked.,1
Your electricity bill has been paid successfully.,0
Dinner at 8 PM tonight?,0
Congratulations! You won ₹500000. Click here to claim.,1
Project review meeting starts at 2 PM.,0
Share your OTP to receive cashback.,1
Please submit your assignment before Friday.,0
Your account is under verification. Login now.,1
You have won a lucky draw. Verify now.,1
Happy Birthday! Have a wonderful day.,0
Dinner at 8 PM tonight?,0
Claim your refund immediately.,1
Happy Birthday! Have a wonderful day.,0
Your bank account has been blocked. Verify immediately.,1
Dinner at 8 PM tonight?,0
Please submit your assignment before Friday.,0
Claim your refund immediately.,1
Share your OTP to receive cashback.,1
Your electricity bill has been paid successfully.,0
Please submit your assignment before Friday.,0
Your electricity bill has been paid successfully.,0
Share your OTP to receive cashback.,1
Thank you for shopping with us.,0
Your package is out for delivery.,0
Click here to receive your lottery prize.,1
Claim your refund immediately.,1
Meeting is scheduled at 10 AM tomorrow.,0
Dinner at 8 PM tonight?,0
Update your KYC today to avoid account suspension.,1
Bus will arrive in 10 minutes.,0
Urgent! Your UPI account is blocked.,1
You have won a lucky draw. Verify now.,1
Claim your refund immediately.,1
Limited offer! Claim your free iPhone now.,1
Your Amazon order has been delivered.,0
Share your OTP to receive cashback.,1
Update your KYC today to avoid account suspension.,1
Thank you for shopping with us.,0
Your package is out for delivery.,0
Meeting is scheduled at 10 AM tomorrow.,0
You have won a lucky draw. Verify now.,1
Limited offer! Claim your free iPhone now.,1
Project review meeting starts at 2 PM.,0
Please submit your assignment before Friday.,0
Your bank account has been blocked. Verify immediately.,1
Limited offer! Claim your free iPhone now.,1
Happy Birthday! Have a wonderful day.,0
Your electricity bill has been paid successfully.,0
Happy Birthday! Have a wonderful day.,0
Your account is under verification. Login now.,1
You have won a lucky draw. Verify now.,1
Project review meeting starts at 2 PM.,0
Your package is out for delivery.,0
Claim your refund immediately.,1
Please submit your assignment before Friday.,0
Update your KYC today to avoid account suspension.,1
Claim your refund immediately.,1
Your bank account has been blocked. Verify immediately.,1
Bus will arrive in 10 minutes.,0
Happy Birthday! Have a wonderful day.,0
Please submit your assignment before Friday.,0
Click here to receive your lottery prize.,1
Thank you for shopping with us.,0
Please submit your assignment before Friday.,0
You have won a lucky draw. Verify now.,1
Share your OTP to receive cashback.,1
Happy Birthday! Have a wonderful day.,0
You have won a lucky draw. Verify now.,1
Your Amazon order has been delivered.,0
Limited offer! Claim your free iPhone now.,1
Click here to receive your lottery prize.,1
Update your KYC today to avoid account suspension.,1
Share your OTP to receive cashback.,1
Your electricity bill has been paid successfully.,0
Congratulations! You won ₹500000. Click here to claim.,1
Thank you for shopping with us.,0
Claim your refund immediately.,1
Thank you for shopping with us.,0
Your bank account has been blocked. Verify immediately.,1
Happy Birthday! Have a wonderful day.,0
Update your KYC today to avoid account suspension.,1
Dinner at 8 PM tonight?,0
Meeting is scheduled at 10 AM tomorrow.,0
Your package is out for delivery.,0
You have won a lucky draw. Verify now.,1
Limited offer! Claim your free iPhone now.,1
Congratulations! You won ₹500000. Click here to claim.,1
Dinner at 8 PM tonight?,0
Dinner at 8 PM tonight?,0
Your bank account has been blocked. Verify immediately.,1
Your Amazon order has been delivered.,0
Bus will arrive in 10 minutes.,0
Happy Birthday! Have a wonderful day.,0
Update your KYC today to avoid account suspension.,1
Please submit your assignment before Friday.,0
Congratulations! You won ₹500000. Click here to claim.,1
Happy Birthday! Have a wonderful day.,0
Dinner at 8 PM tonight?,0
Bus will arrive in 10 minutes.,0
Share your OTP to receive cashback.,1
Your Amazon order has been delivered.,0
Claim your refund immediately.,1
Urgent! Your UPI account is blocked.,1
Thank you for shopping with us.,0
Your package is out for delivery.,0
Please submit your assignment before Friday.,0
Claim your refund immediately.,1
Happy Birthday! Have a wonderful day.,0
Bus will arrive in 10 minutes.,0
Dinner at 8 PM tonight?,0
You have won a lucky draw. Verify now.,1
Limited offer! Claim your free iPhone now.,1
Thank you for shopping with us.,0
Your electricity bill has been paid successfully.,0
Limited offer! Claim your free iPhone now.,1
Your electricity bill has been paid successfully.,0
Please submit your assignment before Friday.,0
Dinner at 8 PM tonight?,0
Dinner at 8 PM tonight?,0
Limited offer! Claim your free iPhone now.,1
Limited offer! Claim your free iPhone now.,1
Your account is under verification. Login now.,1
Your bank account has been blocked. Verify immediately.,1
Project review meeting starts at 2 PM.,0
Share your OTP to receive cashback.,1
Share your OTP to receive cashback.,1
Claim your refund immediately.,1
Your account is under verification. Login now.,1
Happy Birthday! Have a wonderful day.,0
Click here to receive your lottery prize.,1
Bus will arrive in 10 minutes.,0
Your package is out for delivery.,0
Urgent! Your UPI account is blocked.,1
Project review meeting starts at 2 PM.,0
Meeting is scheduled at 10 AM tomorrow.,0
Your package is out for delivery.,0
